"id_competencia","id_area","descripcion"
"35","14","Se comunica oralmente en su lengua materna"
"36","14","Lee diversos tipos de textos en lengua materna"
"37","14","Escribe diversos tipos de textos en lengua materna"
"38","15","Resuelve problemas de cantidad"
"39","15","Resuelve problemas de regularidad, equivalencia y cambio"
"40","15","Resuelve problemas de forma, movimiento y localización"
"41","15","Resuelve problemas de gestión de datos e incertidumbre"
"42","16","Indaga mediante métodos científicos para construir conocimientos"
"43","16","Explica el mundo físico basándose en conocimientos sobre los seres vivos, materia y energía, biodiversidad, Tierra y universo"
"44","16","Diseña y construye soluciones tecnológicas para resolver problemas de su entorno"
"45","17","Construye interpretaciones históricas"
"46","17","Gestiona responsablemente el espacio y el ambiente"
"47","17","Gestiona responsablemente los recursos económicos"
"48","18","Construye su identidad como persona humana, amada por Dios"
"49","18","Asume la experiencia del encuentro personal y comunitario con Dios"
"51","19","Asume una vida saludable"
"52","19","Se desenvuelve de manera autónoma a través de su motricidad"
"53","19","Interactúa a través de sus habilidades sociomotrices"
"54","20","Aprecia de manera crítica manifestaciones artístico-culturales"
"55","20","Crea proyectos desde los lenguajes artísticos"
"56","21","Se comunica oralmente en inglés como lengua extranjera"
"57","21","Lee diversos tipos de textos escritos en inglés como lengua extranjera"
"58","21","Escribe diversos tipos de textos en inglés como lengua extranjera"
"59","22","Gestiona proyectos de emprendimiento económico o social"
"62","23","Construye su identidad"
"63","23","Convive y participa democráticamente en la búsqueda del bien común"
"65","24","Se desenvuelve en entornos virtuales generados por las TIC"
"66","24","Gestiona su aprendizaje de manera autónoma"
"67","25","Indaga mediante métodos científicos para construir conocimientos"
"68","25","Explica el mundo físico basándose en conocimientos sobre los seres vivos, materia y energía, biodiversidad, Tierra y universo"
"69","25","Diseña y construye soluciones tecnológicas para resolver problemas de su entorno"
"70","26","Indaga mediante métodos científicos para construir conocimientos"
"71","26","Explica el mundo físico basándose en conocimientos sobre los seres vivos, materia y energía, biodiversidad, Tierra y universo"
"72","26","Diseña y construye soluciones tecnológicas para resolver problemas de su entorno"
