"id_comportamiento_final","id_alumno","bimestre","nota"
"1","11","1","A"
"2","13","1","A"
"3","14","1","B"
"4","15","1","A"
"5","16","1","A"
"6","17","1","B"
"7","18","1","A"
"8","19","1","A"
"9","20","1","A"
"10","21","1","A"
"11","23","1","A"
"12","24","1","A"
"13","25","1","A"
"14","26","1","B"
"15","27","1","A"
"16","28","1","A"
"17","29","1","A"
"18","30","1","A"
"19","31","1","A"
"20","32","1","A"
"21","33","1","A"
"22","34","1","A"
"23","35","1","A"
"24","36","1","A"
"25","37","1","A"
"26","38","1","A"
"27","40","1","B"
"28","41","1","B"
"29","42","1","A"
"30","43","1","A"
"31","44","1","B"
"32","45","1","A"
"33","47","1","A"
"34","48","1","A"
"35","49","1","A"
"36","50","1","A"
"37","51","1","A"
"38","52","1","A"
"39","53","1","A"
"40","54","1","A"
"41","55","1","A"
"42","56","1","B"
"43","57","1","A"
"44","58","1","B"
"45","59","1","A"
"46","60","1","B"
"47","77","1","B"
"48","80","1","A"
"49","81","1","A"
"50","82","1","B"
"51","83","1","A"
"52","84","1","A"
"53","85","1","A"
"54","86","1","A"
"55","87","1","A"
"56","88","1","A"
"57","89","1","A"
"58","90","1","A"
"59","91","1","A"
"60","92","1","A"
"61","93","1","A"
"62","94","1","A"
"63","95","1","A"
"64","96","1","A"
"65","97","1","A"
"66","98","1","A"
"67","99","1","B"
"68","100","1","A"
"69","101","1","B"
