"id_nota","id_alumno","id_asignacion","id_competencia","bimestre","nota"
"1","80","21","45","1","B"
"2","80","21","46","1","B"
"3","80","21","47","1","A"
"4","81","21","45","1","B"
"5","81","21","46","1","B"
"6","81","21","47","1","B"
"7","82","21","45","1","B"
"8","82","21","46","1","B"
"9","82","21","47","1","C"
"10","83","21","45","1","A"
"11","83","21","46","1","A"
"12","83","21","47","1","A"
"13","84","21","45","1","A"
"14","84","21","46","1","B"
"15","84","21","47","1","B"
"16","85","21","45","1","A"
"17","85","21","46","1","B"
"18","85","21","47","1","B"
"19","86","21","45","1","A"
"20","86","21","46","1","A"
"21","86","21","47","1","A"
"22","87","21","45","1","B"
"23","87","21","46","1","B"
"24","87","21","47","1","B"
"25","88","21","45","1","B"
"26","88","21","46","1","B"
"27","88","21","47","1","B"
"28","89","21","45","1","A"
"29","89","21","46","1","A"
"30","89","21","47","1","B"
"31","90","21","45","1","A"
"32","90","21","46","1","A"
"33","90","21","47","1","B"
"34","91","21","45","1","B"
"35","91","21","46","1","B"
"36","91","21","47","1","B"
"37","92","21","45","1","B"
"38","92","21","46","1","B"
"39","92","21","47","1","B"
"40","93","21","45","1","A"
"41","93","21","46","1","B"
"42","93","21","47","1","B"
"43","94","21","45","1","A"
"44","94","21","46","1","A"
"45","94","21","47","1","A"
"46","95","21","45","1","B"
"47","95","21","46","1","B"
"48","95","21","47","1","B"
"49","11","22","45","1","B"
"50","11","22","46","1","B"
"51","11","22","47","1","B"
"52","13","22","45","1","A"
"53","13","22","46","1","A"
"54","13","22","47","1","A"
"55","14","22","45","1","B"
"56","14","22","46","1","B"
"57","14","22","47","1","B"
"58","96","22","45","1","A"
"59","96","22","46","1","A"
"60","96","22","47","1","B"
"61","97","22","45","1","A"
"62","97","22","46","1","A"
"63","97","22","47","1","B"
"64","15","22","45","1","B"
"65","15","22","46","1","B"
"66","15","22","47","1","B"
"67","16","22","45","1","B"
"68","16","22","46","1","A"
"69","16","22","47","1","A"
"70","17","22","45","1","B"
"71","17","22","46","1","C"
"72","17","22","47","1","C"
"73","18","22","45","1","B"
"74","18","22","46","1","B"
"75","18","22","47","1","B"
"76","19","22","45","1","B"
"77","19","22","46","1","B"
"78","19","22","47","1","A"
"79","20","22","45","1","B"
"80","20","22","46","1","A"
"81","20","22","47","1","B"
"82","21","22","45","1","B"
"83","21","22","46","1","A"
"84","21","22","47","1","A"
"85","23","22","45","1","A"
"86","23","22","46","1","A"
"87","23","22","47","1","A"
"88","24","22","45","1","B"
"89","24","22","46","1","B"
"90","24","22","47","1","B"
"91","98","22","45","1","B"
"92","98","22","46","1","B"
"93","98","22","47","1","A"
"94","25","22","45","1","B"
"95","25","22","46","1","B"
"96","25","22","47","1","B"
"97","99","22","45","1","B"
"98","99","22","46","1","B"
"99","99","22","47","1","B"
"100","26","22","45","1","B"
"101","26","22","46","1","C"
"102","26","22","47","1","C"
"103","27","23","45","1","B"
"104","27","23","46","1","A"
"105","27","23","47","1","A"
"106","29","23","45","1","B"
"107","29","23","46","1","B"
"108","29","23","47","1","B"
"109","30","23","45","1","B"
"110","30","23","46","1","B"
"111","30","23","47","1","B"
"112","31","23","45","1","B"
"113","31","23","46","1","B"
"114","31","23","47","1","C"
"115","32","23","45","1","B"
"116","32","23","46","1","B"
"117","32","23","47","1","A"
"118","33","23","45","1","A"
"119","33","23","46","1","A"
"120","33","23","47","1","A"
"121","100","23","45","1","B"
"122","100","23","46","1","B"
"123","100","23","47","1","B"
"124","34","23","45","1","B"
"125","34","23","46","1","B"
"126","34","23","47","1","B"
"127","35","23","45","1","B"
"128","35","23","46","1","B"
"129","35","23","47","1","A"
"130","36","23","45","1","A"
"131","36","23","46","1","B"
"132","36","23","47","1","B"
"133","37","23","45","1","B"
"134","37","23","46","1","B"
"135","37","23","47","1","C"
"136","38","23","45","1","A"
"137","38","23","46","1","A"
"138","38","23","47","1","A"
"139","40","24","45","1","B"
"140","40","24","46","1","B"
"142","41","24","45","1","B"
"143","41","24","46","1","B"
"144","41","24","47","1","C"
"145","42","24","45","1","A"
"146","42","24","46","1","A"
"147","42","24","47","1","A"
"148","44","24","45","1","B"
"149","44","24","46","1","B"
"150","44","24","47","1","B"
"151","45","24","45","1","A"
"152","45","24","46","1","A"
"153","45","24","47","1","B"
"154","101","24","45","1","B"
"155","101","24","46","1","B"
"156","101","24","47","1","B"
"157","47","24","45","1","A"
"158","47","24","46","1","A"
"159","47","24","47","1","A"
"160","48","24","45","1","B"
"161","48","24","46","1","B"
"162","48","24","47","1","B"
"163","77","25","45","1","B"
"164","77","25","46","1","C"
"165","77","25","47","1","C"
"166","49","25","45","1","A"
"167","49","25","46","1","B"
"168","49","25","47","1","B"
"169","50","25","45","1","A"
"170","50","25","46","1","A"
"171","50","25","47","1","B"
"172","51","25","45","1","B"
"173","51","25","46","1","B"
"174","51","25","47","1","B"
"175","52","25","45","1","B"
"176","52","25","46","1","B"
"177","52","25","47","1","C"
"178","53","25","45","1","A"
"179","53","25","46","1","A"
"180","53","25","47","1","B"
"181","54","25","45","1","B"
"182","54","25","46","1","B"
"183","54","25","47","1","B"
"184","55","25","45","1","A"
"185","55","25","46","1","A"
"186","55","25","47","1","A"
"187","56","25","45","1","B"
"188","56","25","46","1","B"
"189","56","25","47","1","C"
"190","57","25","45","1","B"
"191","57","25","46","1","B"
"192","57","25","47","1","B"
"193","58","25","45","1","B"
"194","58","25","46","1","B"
"195","58","25","47","1","C"
"196","59","25","45","1","A"
"197","59","25","46","1","B"
"198","59","25","47","1","B"
"199","60","25","45","1","B"
"200","60","25","46","1","B"
"201","60","25","47","1","C"
"202","80","6","67","1","C"
"203","80","6","68","1","B"
"204","80","6","69","1","B"
"205","81","6","67","1","B"
"206","81","6","68","1","B"
"207","81","6","69","1","B"
"208","82","6","67","1","C"
"209","82","6","68","1","B"
"210","82","6","69","1","B"
"211","83","6","67","1","B"
"212","83","6","68","1","B"
"213","83","6","69","1","B"
"214","84","6","67","1","B"
"215","84","6","68","1","B"
"216","84","6","69","1","A"
"217","85","6","67","1","B"
"218","85","6","68","1","B"
"219","85","6","69","1","A"
"220","86","6","67","1","B"
"221","86","6","68","1","A"
"222","86","6","69","1","A"
"223","87","6","67","1","B"
"224","87","6","68","1","B"
"225","87","6","69","1","B"
"226","88","6","67","1","B"
"227","88","6","68","1","B"
"228","88","6","69","1","B"
"229","89","6","67","1","B"
"230","89","6","68","1","B"
"231","89","6","69","1","A"
"232","90","6","67","1","B"
"233","90","6","68","1","B"
"234","90","6","69","1","A"
"235","91","6","67","1","B"
"236","91","6","68","1","B"
"237","91","6","69","1","B"
"238","92","6","67","1","B"
"239","92","6","68","1","B"
"240","92","6","69","1","A"
"241","93","6","67","1","C"
"242","93","6","68","1","B"
"243","93","6","69","1","B"
"244","94","6","67","1","A"
"245","94","6","68","1","A"
"246","94","6","69","1","A"
"247","95","6","67","1","B"
"248","95","6","68","1","B"
"249","95","6","69","1","B"
"250","11","7","67","1","B"
"251","11","7","68","1","B"
"252","11","7","69","1","B"
"253","13","7","67","1","A"
"254","13","7","68","1","A"
"255","13","7","69","1","A"
"256","14","7","67","1","B"
"257","14","7","68","1","B"
"258","14","7","69","1","B"
"259","96","7","67","1","B"
"260","96","7","68","1","B"
"261","96","7","69","1","A"
"262","97","7","67","1","B"
"263","97","7","68","1","B"
"264","97","7","69","1","B"
"265","15","7","67","1","B"
"266","15","7","68","1","B"
"267","15","7","69","1","B"
"268","16","7","67","1","B"
"269","16","7","68","1","B"
"270","16","7","69","1","A"
"271","17","7","67","1","C"
"272","17","7","68","1","B"
"273","17","7","69","1","B"
"274","18","7","67","1","B"
"275","18","7","68","1","B"
"276","18","7","69","1","A"
"277","19","7","67","1","B"
"278","19","7","68","1","B"
"279","19","7","69","1","B"
"280","20","7","67","1","B"
"281","20","7","68","1","B"
"282","20","7","69","1","B"
"283","21","7","67","1","B"
"284","21","7","68","1","B"
"285","21","7","69","1","B"
"286","23","7","67","1","A"
"287","23","7","68","1","A"
"288","23","7","69","1","A"
"289","24","7","67","1","B"
"290","24","7","68","1","B"
"291","24","7","69","1","B"
"292","98","7","67","1","C"
"293","98","7","68","1","B"
"294","98","7","69","1","B"
"295","25","7","67","1","B"
"296","25","7","68","1","B"
"297","25","7","69","1","B"
"298","26","7","67","1","C"
"299","26","7","68","1","C"
"300","26","7","69","1","B"
"301","27","8","67","1","B"
"302","27","8","68","1","A"
"303","27","8","69","1","A"
"304","29","8","67","1","B"
"305","29","8","68","1","B"
"306","29","8","69","1","B"
"307","30","8","67","1","B"
"308","30","8","68","1","B"
"309","30","8","69","1","B"
"310","31","8","67","1","C"
"311","31","8","68","1","B"
"312","31","8","69","1","B"
"313","32","8","67","1","C"
"314","32","8","68","1","B"
"315","32","8","69","1","B"
"316","33","8","67","1","B"
"317","33","8","68","1","B"
"318","33","8","69","1","A"
"319","100","8","67","1","C"
"320","100","8","68","1","B"
"321","100","8","69","1","B"
"322","34","8","67","1","B"
"323","34","8","68","1","B"
"324","34","8","69","1","B"
"325","35","8","67","1","B"
"326","35","8","68","1","B"
"327","35","8","69","1","A"
"328","36","8","67","1","B"
"329","36","8","68","1","B"
"330","36","8","69","1","B"
"331","37","8","67","1","B"
"332","37","8","68","1","B"
"333","37","8","69","1","B"
"334","38","8","67","1","B"
"335","38","8","68","1","B"
"336","38","8","69","1","B"
"337","40","9","67","1","C"
"338","40","9","68","1","C"
"339","40","9","69","1","B"
"340","41","9","67","1","B"
"341","41","9","68","1","B"
"342","41","9","69","1","B"
"343","42","9","67","1","B"
"344","42","9","68","1","A"
"345","42","9","69","1","A"
"346","44","9","67","1","B"
"347","44","9","68","1","B"
"348","44","9","69","1","B"
"349","45","9","67","1","B"
"350","45","9","68","1","B"
"351","45","9","69","1","B"
"352","101","9","67","1","C"
"353","101","9","68","1","C"
"354","101","9","69","1","B"
"355","47","9","67","1","A"
"356","47","9","68","1","A"
"357","47","9","69","1","A"
"358","48","9","67","1","B"
"359","48","9","68","1","B"
"360","48","9","69","1","B"
"361","77","10","67","1","C"
"362","77","10","68","1","C"
"363","77","10","69","1","B"
"364","49","10","67","1","C"
"365","49","10","68","1","B"
"366","49","10","69","1","B"
"367","50","10","67","1","A"
"368","50","10","68","1","A"
"369","50","10","69","1","A"
"370","51","10","67","1","B"
"371","51","10","68","1","B"
"372","51","10","69","1","B"
"373","52","10","67","1","B"
"374","52","10","68","1","B"
"375","52","10","69","1","B"
"376","53","10","67","1","B"
"377","53","10","68","1","B"
"378","53","10","69","1","A"
"379","54","10","67","1","B"
"380","54","10","68","1","B"
"381","54","10","69","1","B"
